Type;date;mm_rain
562;30-jun-11;6.2
563;31-jul-11;5.18
564;31 Aug 11;4.92
565;30-sep-11;0.5
566;31-oct-11;17.13
567;30-nov-11;69.97
568;31 Dec 11;16
569;31 Jan 12;0
570;29-feb-12;54.1
571;31-mar-12;38.77
572;30 Apr 12;36.93
573;31-may-12;0.6
574;30-jun-12;0
575;31-jul-12;0
576;31 Aug 12;0
577;30-sep-12;24.6
578;31-oct-12;76.5
579;30-nov-12;42.4
580;31 Dec 12;0
581;31 Jan 13;0
582;28-feb-13;0
583;31-mar-13;0
584;30 Apr 13;66.8
585;31-may-13;27.5
586;30-jun-13; 
