Type;date;mm_rain
550;31-jul-01;0
551;31 Aug 01;0
552;30-sep-01;0
553;31-oct-01;0
554;30-nov-01;1.618.999.816
555;31 Dec 01;1.564.999.916
556;31 Jan 02;168.945.308
557;28-feb-02;11.405.469
558;31-mar-02;301.000.008
559;30 Apr 02;24.000.004
560;31-may-02;31.171.867
561;30-jun-02;230.828.124
562;31-jul-02;470.000.079
563;31 Aug 02;5.800.001
564;30-sep-02;545.999.883
565;31-oct-02;522.593.676
566;30-nov-02;678.406.221
567;31 Dec 02;514.999.991
568;31 Jan 03;273.999.983
569;28-feb-03;964.921.965
570;31-mar-03;359.078.138
571;30 Apr 03;0
572;31-may-03;141.000.005
573;30-jun-03;89.499.999
574;31-jul-03;0
575;31 Aug 03;0
576;30-sep-03;0
577;31-oct-03;0
578;30-nov-03;0
579;31 Dec 03;0
580;31 Jan 04;271.201.568
581;29-feb-04;43.598.436
582;31-mar-04;1.246.117.225
583;30 Apr 04;1.240.882.755
584;31-may-04;0
585;30-jun-04;0
586;31-jul-04;607.390.614
587;31 Aug 04;12.609.375
588;30-sep-04;0
589;31-oct-04;0
590;30-nov-04;0
591;31 Dec 04;0
592;31 Jan 05;671.000.032
593;28-feb-05;539.999.981
594;31-mar-05;319.999.969
595;30 Apr 05;215.000.013
596;31-may-05;0
597;30-jun-05;129.999.999
598;31-jul-05;12.2
599;31 Aug 05;0
600;30-sep-05;28.900.001
601;31-oct-05;2
602;30-nov-05;783.000.083
603;31 Dec 05;1.277.000.049
604;31 Jan 06;1.487.671.866
605;28-feb-06;669.523.381
606;31-mar-06;1.289.804.694
607;30 Apr 06;40.999.996
608;31-may-06;168.000.005
609;30-jun-06;247.999.971
610;31-jul-06;83.000.006
611;31 Aug 06;0
612;30-sep-06;162.000.006
613;31-oct-06;81.000.014
614;30-nov-06;967.999.977
615;31 Dec 06;254.117.204
616;31 Jan 07;577.882.875
617;28-feb-07;500.000.002
618;31-mar-07;313.882.793
619;30 Apr 07;1.109.117.285
620;31-may-07;0
621;30-jun-07;146.000.022
622;31-jul-07;0
623;31 Aug 07;0.2999999
624;30-sep-07;0.6640626
625;31-oct-07;190.968.778
626;30-nov-07;342.390.626
627;31 Dec 07;1.718.000.056
628;31 Jan 08;0
629;29-feb-08;502.000.007
630;31-mar-08;291.499.984
631;30 Apr 08;0
632;31-may-08;20.999.999
633;30-jun-08;330.000.005
634;31-jul-08;37.000.001
635;31 Aug 08;42.999.991
636;30-sep-08;0
637;31-oct-08;166.000.017
638;30-nov-08;787.000.126
639;31 Dec 08;0
640;31 Jan 09;2.340.304.998
641;28-feb-09;1.125.648.451
642;31-mar-09;483.046.842
643;30 Apr 09;149.000.007
644;31-may-09;512.999.998
645;30-jun-09;245.000.003
646;31-jul-09;0
647;31 Aug 09;0
648;30-sep-09;0
649;31-oct-09;0
650;30-nov-09;0
651;31 Dec 09;0
652;31 Jan 10;714.999.941
653;28-feb-10;1.198.999.844
654;31-mar-10;756.999.894
655;30 Apr 10;194.399.993
656;31-may-10;0
657;30-jun-10;0
658;31-jul-10;0
659;31 Aug 10;0
660;30-sep-10;0
661;31-oct-10;0
662;30-nov-10;0
663;31 Dec 10;0
664;31 Jan 11;1.746.000.089
665;28-feb-11;101.999.999
666;31-mar-11;885.000.072
667;30 Apr 11;848.000.069
668;31-may-11;119.999.988
669;30-jun-11;0
670;31-jul-11;0
671;31 Aug 11;0
672;30-sep-11;0
673;31-oct-11;114.835.944
674;30-nov-11;986.164.112
675;31 Dec 11;0
676;31 Jan 12;1.184.999.985
677;29-feb-12;904.390.739
678;31-mar-12;1.021.968.744
679;30 Apr 12;21.664.062
680;31-may-12;0
681;30-jun-12;0
682;31-jul-12;0
683;31 Aug 12;0
684;30-sep-12;632.999.918
685;31-oct-12;701.414.149
686;30-nov-12;152.585.931
687;31 Dec 12;657.999.992
688;31 Jan 13;2.989.999.823
689;28-feb-13;472.999.911
690;31-mar-13;423.999.983
691;30 Apr 13;18.500.001
692;31-may-13;23.5
693;30-jun-13; 
