Type;date;mm_rain
422;31-oct-89;0
423;30-nov-89;0
424;31 Dec 89;0
425;31 Jan 90;0
426;28-feb-90;0
427;31-mar-90;0
428;30 Apr 90;0
429;31-may-90;0
430;30-jun-90;0
431;31-jul-90;0
432;31 Aug 90;0
433;30-sep-90;0
434;31-oct-90;0
435;30-nov-90;0
436;31 Dec 90;0
437;31 Jan 91;0
438;28-feb-91;0
439;31-mar-91;0
440;30 Apr 91;0
441;31-may-91;0
442;30-jun-91;0
443;31-jul-91;0
444;31 Aug 91;0
445;30-sep-91;0
446;31-oct-91;0
447;30-nov-91;0
448;31 Dec 91;0
449;31 Jan 92;0
450;29-feb-92;0
451;31-mar-92;0
452;30 Apr 92;0
453;31-may-92;0
454;30-jun-92;0
455;31-jul-92;0
456;31 Aug 92;0
457;30-sep-92;0
458;31-oct-92;0
459;30-nov-92;0
460;31 Dec 92;0
461;31 Jan 93;0
462;28-feb-93;0
463;31-mar-93;0
464;30 Apr 93;0
465;31-may-93;0
466;30-jun-93;0
467;31-jul-93;0
468;31 Aug 93;0
469;30-sep-93;0
470;31-oct-93;0
471;30-nov-93;0
472;31 Dec 93;0
473;31 Jan 94;0
474;28-feb-94;0
475;31-mar-94;0
476;30 Apr 94;0
477;31-may-94;0
478;30-jun-94;0
479;31-jul-94;0
480;31 Aug 94;0
481;30-sep-94;0
482;31-oct-94;0
483;30-nov-94;0
484;31 Dec 94;0
485;31 Jan 95;0
486;28-feb-95;0
487;31-mar-95;0
488;30 Apr 95;0
489;31-may-95;0
490;30-jun-95;0
491;31-jul-95;0
492;31 Aug 95;0
493;30-sep-95;0
494;31-oct-95;70.3
495;30-nov-95;9.4
496;31 Dec 95;158.8
497;31 Jan 96;139.4
498;29-feb-96;39
499;31-mar-96;58.1
500;30 Apr 96;100.3
501;31-may-96;71.8
502;30-jun-96;34.5
503;31-jul-96;42.7
504;31 Aug 96;22.9
505;30-sep-96;0
506;31-oct-96;0
507;30-nov-96;29.7
508;31 Dec 96;33.8
509;31 Jan 97;39.9
510;28-feb-97;28.7
511;31-mar-97;17.4
512;30 Apr 97;9.4
513;31-may-97;22.9
514;30-jun-97;0
515;31-jul-97;3.4
516;31 Aug 97;15.6
517;30-sep-97;31.4
518;31-oct-97;37.4
519;30-nov-97;71.4
520;31 Dec 97;93.43
521;31 Jan 98;49.77
522;28-feb-98;17.28
523;31-mar-98;22.62
524;30 Apr 98;6.7
525;31-may-98;19.9
526;30-jun-98;9.7
527;31-jul-98;0
528;31 Aug 98;0
529;30-sep-98;26.3
530;31-oct-98;22.6
531;30-nov-98;60.9
532;31 Dec 98;95.2
533;31 Jan 99;57.6
534;28-feb-99;0
535;31-mar-99;0
536;30 Apr 99;0
537;31-may-99;0
538;30-jun-99;0
539;31-jul-99;0
540;31 Aug 99;0
541;30-sep-99;0
542;31-oct-99;71.7
543;30-nov-99;0
544;31 Dec 99;0
545;31 Jan 00;0
546;29-feb-00;289.6
547;31-mar-00;134.5
548;30 Apr 00;60.6
549;31-may-00;28.7
550;30-jun-00;80.3
551;31-jul-00;11.5
552;31 Aug 00;1.5
553;30-sep-00;99.6
554;31-oct-00;85.7
555;30-nov-00;179.4
556;31 Dec 00;41.52
557;31 Jan 01;31.08
558;28-feb-01;165.94
559;31-mar-01;82.06
560;30 Apr 01;6.1
561;31-may-01;11.6
562;30-jun-01;0
563;31-jul-01;0
564;31 Aug 01;0
565;30-sep-01;0
566;31-oct-01;27.59
567;30-nov-01;310.73
568;31 Dec 01;146.38
569;31 Jan 02;0
570;28-feb-02;13.3
571;31-mar-02;16.4
572;30 Apr 02;16
573;31-may-02;0
574;30-jun-02;10.9
575;31-jul-02;0
576;31 Aug 02;0
577;30-sep-02;26.5
578;31-oct-02;44.62
579;30-nov-02;31.08
580;31 Dec 02;67.3
581;31 Jan 03;4.2
582;28-feb-03;31.39
583;31-mar-03;113.85
584;30 Apr 03;13.66
585;31-may-03;5
586;30-jun-03;77.79
587;31-jul-03;3.11
588;31 Aug 03;0
589;30-sep-03;50.4
590;31-oct-03;0
591;30-nov-03;54.3
592;31 Dec 03;48
593;31 Jan 04;239.1
594;29-feb-04;45.1
595;31-mar-04;92.5
596;30 Apr 04;78.2
597;31-may-04;0
598;30-jun-04;6.97
599;31-jul-04;35.94
600;31 Aug 04;19.29
601;30-sep-04;26.2
602;31-oct-04;91.3
603;30-nov-04;57.7
604;31 Dec 04;0
605;31 Jan 05;39.2
606;28-feb-05;8.2
607;31-mar-05;0
608;30 Apr 05;0
609;31-may-05;0
610;30-jun-05;0
611;31-jul-05;0
612;31 Aug 05;0
613;30-sep-05;0
614;31-oct-05;0
615;30-nov-05;0
616;31 Dec 05;0
617;31 Jan 06;0
618;28-feb-06;97.29
619;31-mar-06;226.31
620;30 Apr 06;30.89
621;31-may-06;18.11
622;30-jun-06;0
623;31-jul-06;0
624;31 Aug 06;0
625;30-sep-06;0
626;31-oct-06;21.2
627;30-nov-06;23
628;31 Dec 06;56.17
629;31 Jan 07;47.83
630;28-feb-07;119.1
631;31-mar-07;36.57
632;30 Apr 07;34.63
633;31-may-07;26.5
634;30-jun-07;0
635;31-jul-07;11.5
636;31 Aug 07;0
637;30-sep-07;58.95
638;31-oct-07;25.55
639;30-nov-07;22.8
640;31 Dec 07;95
641;31 Jan 08;71.5
642;29-feb-08;0.63
643;31-mar-08;10.38
644;30 Apr 08;43.39
645;31-may-08;2.01
646;30-jun-08;0
647;31-jul-08;0
648;31 Aug 08;0
649;30-sep-08;0
650;31-oct-08;0
651;30-nov-08;0
652;31 Dec 08;0
653;31 Jan 09;0
654;28-feb-09;0
655;31-mar-09;0
656;30 Apr 09;0
657;31-may-09;25.2
658;30-jun-09;8.6
659;31-jul-09;3.7
660;31 Aug 09;0
661;30-sep-09;0
662;31-oct-09;9.2
663;30-nov-09;100.13
664;31 Dec 09;42.57
665;31 Jan 10;72.53
666;28-feb-10;17.27
667;31-mar-10;87.6
668;30 Apr 10;220.7
669;31-may-10;13.5
670;30-jun-10;0
671;31-jul-10;26.9
672;31 Aug 10;6.2
673;30-sep-10;0
674;31-oct-10;2.9
675;30-nov-10;200.8
676;31 Dec 10;73.5
677;31 Jan 11;238.9
678;28-feb-11;0
679;31-mar-11;73.2
680;30 Apr 11;39.8
681;31-may-11;4.5
682;30-jun-11;15.4
683;31-jul-11;8.4
684;31 Aug 11;5.8
685;30-sep-11;1.5
686;31-oct-11;35.81
687;30-nov-11;60.59
688;31 Dec 11;34.3
689;31 Jan 12;167
690;29-feb-12;81.6
691;31-mar-12;22.9
692;30 Apr 12;7.1
693;31-may-12;0
694;30-jun-12;1.3
695;31-jul-12;0.7
696;31 Aug 12;0
697;30-sep-12;51.3
698;31-oct-12;76.7
699;30-nov-12;33.9
700;31 Dec 12;77.67
701;31 Jan 13;254.23
702;28-feb-13;25.2
703;31-mar-13;54.3
704;30 Apr 13;56.9
705;31-may-13;1.1
706;30-jun-13;0
707;31-jul-13;0.7
708;31 Aug 13;0
709;30-sep-13; 
